grid_id,latitude,longitude,burnable,lc_group,clc_code,fire_probability,high_fire_probability,combined_risk_score,predicted_risk_class
160,37.9608,26.795,0,NO_DATA,-128,0.0618031022619727,0.1479453999054519,0.0091434846795451,SAFE_UNBURNABLE
161,37.9608,26.825,0,NO_DATA,-128,0.0597801987844196,0.1471834390408065,0.0087986552436339,SAFE_UNBURNABLE
162,37.9608,26.855,0,NO_DATA,-128,0.0578194272554346,0.146424728101606,0.0084661939148676,SAFE_UNBURNABLE
163,37.9608,26.885,0,NO_DATA,-128,0.0559191434422219,0.1456692601703155,0.0081457002545862,SAFE_UNBURNABLE
164,37.9608,26.915,0,NO_DATA,-128,0.0540777293893907,0.1449170282699241,0.0078367838386956,SAFE_UNBURNABLE
165,37.9608,26.945,0,NO_DATA,-128,0.0522935942102369,0.144168025364834,0.0075390642165197,SAFE_UNBURNABLE
166,37.9608,26.975,0,NO_DATA,-128,0.0505651747699607,0.1434222443617476,0.0072521708520517,SAFE_UNBURNABLE
167,37.9608,27.005,0,NO_DATA,-128,0.0488909362670748,0.1426796781105502,0.0069757430491096,SAFE_UNBURNABLE
168,37.9608,27.035,0,NO_DATA,-128,0.0472693727191055,0.141940319405186,0.0067094298618326,SAFE_UNBURNABLE
169,37.9608,27.065,0,NO_DATA,-128,0.0456990073585144,0.1412041609845344,0.0064528899918851,SAFE_UNBURNABLE
170,37.9608,27.095,0,NO_DATA,-128,0.044178392944584,0.1404711955332788,0.0062057916736646,SAFE_UNBURNABLE
171,37.9608,27.125,0,NO_DATA,-128,0.0427061119968113,0.1397414156827725,0.0059678125487414,SAFE_UNBURNABLE
172,37.9608,27.155,0,NO_DATA,-128,0.0412807769551793,0.1390148140119009,0.005738639530691,SAFE_UNBURNABLE
173,37.9608,27.185,0,NO_DATA,-128,0.0399010302724366,0.1382913830479378,0.0055179686614129,SAFE_UNBURNABLE
174,37.9608,27.215,0,NO_DATA,-128,0.0385655444433427,0.1375711152673995,0.0053055049599651,SAFE_UNBURNABLE
175,37.9608,27.245,0,NO_DATA,-128,0.0372730219756048,0.1368540030968921,0.0051009622648799,SAFE_UNBURNABLE
176,37.9608,27.275,1,OTHER,35,0.9093919781329536,0.2252535522951479,0.2048437735031593,LOW_RISK
177,37.9608,27.305,1,OTHER,13,0.8837633027103845,0.0996845641447724,0.0880975596378292,LOW_RISK
178,37.9608,27.335,1,OTHER,13,0.8800736448961654,0.082745377846335,0.0728220262795345,LOW_RISK
179,37.9608,27.365,1,OTHER,16,0.8479351365561408,0.1024683041463057,0.0868864754689738,LOW_RISK
180,37.9608,27.395,1,OTHER,16,0.8433098370930755,0.0871522248224678,0.0734963285173344,LOW_RISK
181,37.9608,27.425,1,OTHER,17,0.7744625727653137,0.086431397330999,0.0669378823446665,LOW_RISK
182,37.9608,27.455,1,OTHER,21,0.7573717262795332,0.1015886443434018,0.0769403669367598,LOW_RISK
183,37.9608,27.485,1,OTHER,21,0.7508013496287279,0.1010371227799387,0.0758588081457814,LOW_RISK
184,37.9608,27.515,0,NO_DATA,-128,0.0273742564777378,0.1305407227773567,0.0035734552260966,SAFE_UNBURNABLE
185,37.9608,27.545,0,NO_DATA,-128,0.0264464921923802,0.1298547397882127,0.0034342023619525,SAFE_UNBURNABLE
186,37.9608,27.575,0,NO_DATA,-128,0.0255493455829361,0.1291718260459373,0.0033002556232265,SAFE_UNBURNABLE
187,37.9608,27.605,0,NO_DATA,-128,0.0246818613817242,0.1284919734427626,0.0031714210771784,SAFE_UNBURNABLE
188,37.9608,27.635,0,NO_DATA,-128,0.0238431104318927,0.1278151738316257,0.003047511304539,SAFE_UNBURNABLE
189,37.9608,27.665,0,NO_DATA,-128,0.023032189226388,0.1271414190269519,0.0029283452215402,SAFE_UNBURNABLE
190,37.9608,27.695,0,NO_DATA,-128,0.0222482194362123,0.1264707008054316,0.0028137479037707,SAFE_UNBURNABLE
191,37.9608,27.725,0,NO_DATA,-128,0.0214903474298126,0.1258030109067944,0.0027035504121035,SAFE_UNBURNABLE
192,37.9608,27.755,0,NO_DATA,-128,0.0207577437853104,0.1251383410345772,0.0025975896209145,SAFE_UNBURNABLE
193,37.9608,27.785,0,NO_DATA,-128,0.0200496027971512,0.1244766828568862,0.0024957080487875,SAFE_UNBURNABLE
194,37.9608,27.815,0,NO_DATA,-128,0.0193651419786474,0.1238180280071564,0.0023977536918747,SAFE_UNBURNABLE
195,37.9608,27.845,0,NO_DATA,-128,0.0187036015617586,0.1231623680849032,0.0023035798600626,SAFE_UNBURNABLE
196,37.9608,27.875,0,NO_DATA,-128,0.0180642439953597,0.1225096946564707,0.0022130450160715,SAFE_UNBURNABLE
197,37.9608,27.905,0,NO_DATA,-128,0.0174463534431391,0.1218599992557744,0.0021260126175969,SAFE_UNBURNABLE
198,37.9608,27.935,0,NO_DATA,-128,0.016849235282174,0.1212132733850385,0.002042350962587,SAFE_UNBURNABLE
199,37.9608,27.965,0,NO_DATA,-128,0.0162722156031426,0.1205695085155282,0.0019619330377296,SAFE_UNBURNABLE
200,37.9608,27.995,0,NO_DATA,-128,0.0157146407130459,0.1199286960882776,0.0018846363702113,SAFE_UNBURNABLE
201,37.9608,28.025,0,NO_DATA,-128,0.0151758766412347,0.1192908275148101,0.0018103428827955,SAFE_UNBURNABLE
202,37.9608,28.055,0,NO_DATA,-128,0.0146553086494542,0.1186558941778568,0.0017389387522534,SAFE_UNBURNABLE
203,37.9608,28.085,0,NO_DATA,-128,0.0141523407465634,0.1180238874320664,0.0016703142711726,SAFE_UNBURNABLE
